Date,Symbol,Close
2010-11-04,ADANIPORTS,161.2
2010-11-05,ADANIPORTS,162.3
2010-11-08,ADANIPORTS,161.4
2010-11-09,ADANIPORTS,162.25
2010-11-10,ADANIPORTS,159.9
2010-11-11,ADANIPORTS,155.4
2010-11-12,ADANIPORTS,151.85
2010-11-15,ADANIPORTS,151.55
2010-11-16,ADANIPORTS,148.45
2010-11-18,ADANIPORTS,147.75
2010-11-19,ADANIPORTS,145.3
2010-11-22,ADANIPORTS,146.05
2010-11-23,ADANIPORTS,145.35
2010-11-24,ADANIPORTS,144.9
2010-11-25,ADANIPORTS,139.05
2010-11-26,ADANIPORTS,141.3
2010-11-29,ADANIPORTS,143.5
2010-11-30,ADANIPORTS,152.4
2010-12-01,ADANIPORTS,153.65
2010-12-02,ADANIPORTS,150.35
2010-12-03,ADANIPORTS,147.05
2010-12-06,ADANIPORTS,147.0
2010-12-07,ADANIPORTS,145.7
2010-12-08,ADANIPORTS,141.5
2010-12-09,ADANIPORTS,137.75
2010-12-10,ADANIPORTS,146.6
2010-12-13,ADANIPORTS,148.25
2010-12-14,ADANIPORTS,151.45
2010-12-15,ADANIPORTS,148.3
2010-12-16,ADANIPORTS,148.05
2010-12-20,ADANIPORTS,144.3
2010-12-21,ADANIPORTS,149.7
2010-12-22,ADANIPORTS,149.95
2010-12-23,ADANIPORTS,145.3
2010-12-24,ADANIPORTS,143.75
2010-12-27,ADANIPORTS,143.65
2010-12-28,ADANIPORTS,140.85
2010-12-29,ADANIPORTS,141.35
2010-12-30,ADANIPORTS,141.7
2010-12-31,ADANIPORTS,144.05
2011-01-03,ADANIPORTS,145.05
2011-01-04,ADANIPORTS,148.55
2011-01-05,ADANIPORTS,157.6
2011-01-06,ADANIPORTS,154.95
2011-01-07,ADANIPORTS,147.25
2011-01-10,ADANIPORTS,140.4
2011-01-11,ADANIPORTS,139.05
2011-01-12,ADANIPORTS,139.75
2011-01-13,ADANIPORTS,141.4
2011-01-14,ADANIPORTS,139.2
2011-01-17,ADANIPORTS,137.1
2011-01-18,ADANIPORTS,139.85
2011-01-19,ADANIPORTS,139.8
2011-01-20,ADANIPORTS,139.4
2011-01-21,ADANIPORTS,140.0
2011-01-24,ADANIPORTS,142.25
2011-01-25,ADANIPORTS,140.15
2011-01-27,ADANIPORTS,138.15
2011-01-28,ADANIPORTS,139.5
2011-01-31,ADANIPORTS,140.55
2011-02-01,ADANIPORTS,139.45
2011-02-02,ADANIPORTS,136.5
2011-02-03,ADANIPORTS,138.35
2011-02-04,ADANIPORTS,134.95
2011-02-07,ADANIPORTS,134.8
2011-02-08,ADANIPORTS,131.7
2011-02-09,ADANIPORTS,129.0
2011-02-10,ADANIPORTS,129.7
2011-02-11,ADANIPORTS,138.55
2011-02-14,ADANIPORTS,142.7
