,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,JSWSTEEL,KOTAKBANK,LT,MARUTI,M&M,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SHREECEM,SUNPHARMA,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,ULTRACEMCO,UPL,VEDL,WIPRO,ZEEL
JSWSTEEL,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.018867924528301886,0.0,0.0,0.013333333333333334,0.02857142857142857,-0.017241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07692307692307693,0.0,1.0,0.0,-0.011494252873563218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02702702702702703,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.04918032786885246,-0.030303030303030304,0.0
KOTAKBANK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.046153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.019230769230769232,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0
LT,0.0,0.07142857142857142,0.08333333333333333,0.05714285714285714,0.0,0.0,0.0,0.09090909090909091,0.03225806451612903,-0.02,0.03773584905660377,-0.046153846153846156,0.0,0.0,0.0,0.0,0.05128205128205128,0.08333333333333333,0.013513513513513514,0.029411764705882353,0.0,0.0,0.0,0.0,0.3076923076923077,0.0,-0.030303030303030304,0.0,1.0,0.0,0.125,0.0,0.01639344262295082,0.0,0.0,0.029411764705882353,0.023809523809523808,0.0,-0.03571428571428571,0.0,0.05263157894736842,0.038461538461538464,-0.030303030303030304,0.0,0.0,0.058823529411764705,0.01639344262295082,0.030303030303030304,0.0
MARUTI,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,-0.06451612903225806,0.0,0.0,0.0,-0.047619047619047616,0.0,0.0,0.0,0.0,-0.08333333333333333,0.0,0.0,-0.04081632653061224,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.04411764705882353,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M&M,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,-0.02,0.018867924528301886,0.015384615384615385,0.0,0.02666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.04597701149425287,0.0,1.0,0.0,0.0,0.0,0.0,-0.014705882352941176,0.0,0.0,-0.05357142857142857,0.02702702702702703,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.0
NESTLEIND,0.16,0.0,0.0,0.05714285714285714,0.0,0.0,0.046296296296296294,0.0,0.06451612903225806,-0.02,0.018867924528301886,0.0,0.0,0.0,0.0,-0.017241379310344827,0.0,0.08333333333333333,0.02702702702702703,0.029411764705882353,0.061224489795918366,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,1.0,-0.01639344262295082,0.0,0.0,0.029411764705882353,0.023809523809523808,0.15384615384615385,0.0,0.0,0.07894736842105263,0.019230769230769232,0.0,0.0,0.043478260869565216,0.058823529411764705,0.01639344262295082,0.0,0.0
NTPC,-0.08,0.0,-0.08333333333333333,0.0,0.0,0.07692307692307693,-0.009259259259259259,0.0,0.0,0.0,0.018867924528301886,-0.03076923076923077,0.0,0.013333333333333334,0.05714285714285714,0.0,0.0,0.0,0.02702702702702703,-0.029411764705882353,0.02040816326530612,0.0,-0.05263157894736842,0.0,0.0,0.0,0.0,0.14285714285714285,0.011494252873563218,0.07692307692307693,0.0,-0.024390243902439025,1.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.05357142857142857,0.0,-0.02631578947368421,0.0,0.015151515151515152,0.075,0.0,0.0,0.06557377049180328,0.0,-0.06060606060606061
ONGC,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.0,0.017241379310344827,0.05128205128205128,0.0,0.013513513513513514,0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.02702702702702703,0.0,0.0,0.0,-0.025,0.0,0.0,0.0,0.0,0.0
POWERGRID,0.0,0.0,0.0,0.0,-0.09523809523809523,0.0,-0.009259259259259259,0.0,0.0,0.02,0.0,0.0,0.0,0.02666666666666667,0.0,0.05172413793103448,0.02564102564102564,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.058823529411764705,0.03278688524590164,0.0,0.0
RELIANCE,0.0,0.07142857142857142,0.0,0.05714285714285714,0.047619047619047616,-0.07692307692307693,0.0,0.0,0.03225806451612903,0.0,0.03773584905660377,0.0,0.0,0.013333333333333334,0.0,-0.017241379310344827,0.02564102564102564,0.0,0.04054054054054054,0.058823529411764705,0.0,0.0,0.05263157894736842,0.0,0.07692307692307693,0.05555555555555555,0.0,0.0,0.022988505747126436,0.23076923076923078,-0.03125,0.04878048780487805,0.0,0.0,0.0,1.0,0.023809523809523808,0.0,-0.017857142857142856,0.0,0.0,0.038461538461538464,0.045454545454545456,-0.025,0.043478260869565216,0.0,0.0,0.0,-0.030303030303030304
